Time (s);Heater voltage (V);Heater current (A);Spooler voltage (V);Spooler current (A);Extruder voltage (V);Extruder current (A);Event
4,6000;11,994;0,199;12,004;0,310;11,980;0,602;
4,7000;11,995;0,209;11,979;0,309;11,975;0,596;
4,8000;11,982;0,207;12,030;0,307;12,011;0,608;
4,9000;11,988;0,178;12,001;0,308;12,019;0,596;
5,0000;11,990;0,181;11,996;0,301;12,006;0,599;
5,1000;12,004;0,193;12,010;0,303;12,012;0,600;
5,2000;12,008;0,166;11,972;0,297;12,014;0,599;
5,3000;11,993;0,177;12,013;0,299;12,004;0,597;
5,4000;11,999;0,192;11,977;0,291;11,977;0,604;
5,5000;12,022;0,226;12,010;0,290;11,992;0,599;
5,6000;11,971;0,207;11,996;0,291;12,020;0,593;
5,7000;12,004;;11,992;0,295;12,004;0,595;
5,8000;12,016;0,224;11,962;0,298;12,012;0,605;
5,9000;11,994;0,230;12,051;0,296;12,032;0,597;
6,0000;11,967;0,248;12,020;0,296;12,021;0,601;
6,1000;11,990;0,238;11,999;0,301;11,983;0,599;
6,2000;11,974;0,247;12,018;0,301;12,000;0,597;
6,3000;12,017;0,252;12,030;0,306;12,008;0,599;
6,4000;12,012;0,264;12,012;0,309;11,978;0,600;
6,5000;12,019;0,277;11,999;0,305;12,013;0,596;
6,6000;11,999;0,268;11,970;0,306;11,985;0,595;
6,7000;11,984;0,293;12,012;0,306;12,009;0,596;
6,8000;11,963;0,290;11,994;0,307;11,999;0,601;
6,9000;12,038;0,296;11,969;0,300;11,973;0,603;
7,0000;11,981;0,309;11,993;0,304;11,944;0,602;
7,1000;12,021;0,288;11,994;0,292;11,980;0,606;
7,2000;11,992;0,317;11,962;0,293;11,999;0,600;
7,3000;11,978;0,310;11,999;0,296;12,037;0,599;
7,4000;11,999;0,300;11,985;0,290;11,979;0,602;
7,5000;12,005;0,311;11,985;0,287;11,995;0,598;
7,6000;12,000;0,309;12,001;0,286;11,988;0,599;
7,7000;12,002;0,285;11,997;0,291;11,993;0,596;
7,8000;11,989;0,307;11,976;0,295;12,003;0,599;
7,9000;12,011;0,294;12,009;0,298;12,006;0,602;
8,0000;11,995;0,299;12,009;0,301;11,970;0,602;
8,1000;12,020;0,318;11,969;0,306;11,997;0,590;
8,2000;11,970;0,295;11,987;0,310;11,993;0,601;
8,3000;12,032;0,314;11,995;0,304;11,986;0,602;
8,4000;12,002;0,296;11,985;0,309;12,015;0,602;
8,5000;12,008;0,293;12,007;0,307;11,967;0,602;
8,6000;12,006;0,265;11,993;0,308;11,983;0,591;
8,7000;12,018;0,265;11,988;0,308;12,015;0,589;
8,8000;12,011;0,263;12,034;0,309;12,006;0,601;
8,9000;11,989;0,265;12,018;0,309;11,997;0,600;
9,0000;12,027;0,250;12,029;0,297;11,996;0,599;
9,1000;12,021;0,243;11,982;0,298;11,987;0,594;
9,2000;12,010;0,250;11,990;0,297;11,995;0,604;
9,3000;11,983;0,216;11,986;0,294;12,005;0,596;
9,4000;11,993;0,226;11,987;0,289;12,024;0,609;
9,5000;12,001;0,242;12,031;0,290;11,980;0,600;
9,6000;11,983;0,206;11,971;0,292;11,985;0,599;
9,7000;12,012;0,204;12,010;0,289;11,993;0,596;
9,8000;11,999;0,210;11,993;0,293;12,014;0,594;
9,9000;11,992;0,193;12,019;0,297;12,014;0,608;
10,0000;11,993;0,193;12,010;0,302;11,990;0,608;
10,1000;12,011;0,213;11,959;0,305;11,996;0,602;
10,2000;11,993;0,185;12,007;0,304;11,993;0,598;
10,3000;11,954;0,185;12,005;0,311;12,040;0,600;
10,4000;11,982;0,152;11,990;0,310;11,960;0,601;
10,5000;12,006;0,161;11,994;0,310;11,989;0,598;
10,6000;11,999;0,169;12,040;0,313;12,014;0,597;
10,7000;11,999;0,202;11,994;0,308;11,991;0,600;
10,8000;11,993;0,182;11,999;0,305;12,011;0,603;
10,9000;11,996;0,177;12,005;0,303;12,031;0,597;
11,0000;11,990;0,199;11,961;0,298;11,989;0,603;
11,1000;12,028;0,194;12,015;0,296;11,987;0,602;
11,2000;11,958;0,184;11,970;0,292;12,007;0,601;
11,3000;11,996;0,217;11,985;0,289;11,976;0,602;
11,4000;11,960;0,204;11,998;0,292;12,002;0,603;
11,5000;12,025;0,217;12,008;0,291;11,971;0,599;
11,6000;12,004;0,210;12,033;0,291;11,976;0,593;
11,7000;11,998;0,220;12,002;0,290;12,011;0,597;
11,8000;12,020;0,246;11,980;0,293;11,983;0,603;
11,9000;11,990;0,225;11,980;0,294;11,990;0,592;
12,0000;11,992;0,229;11,996;0,295;11,991;0,603;RUN_STOP
12,1000;11,998;0,257;12,013;0,301;11,977;0,597;
12,2000;12,004;0,286;11,990;0,309;11,988;0,599;
12,3000;12,015;0,298;11,998;0,309;12,024;0,598;
12,4000;11,994;0,251;12,002;0,313;12,006;0,603;
12,5000;12,017;0,276;12,015;0,311;12,003;0,607;
12,6000;11,998;0,276;12,015;0,308;12,006;0,599;
12,7000;11,997;0,288;12,000;0,311;11,981;0,599;
12,8000;11,979;0,306;11,979;0,309;12,046;0,608;
12,9000;12,015;0,299;12,002;0,308;11,974;0,604;
13,0000;12,028;0,305;11,987;0,301;12,015;0,600;
13,1000;11,990;0,304;12,018;0,299;12,003;0,600;
13,2000;11,991;0,320;11,996;0,298;11,972;0,605;
13,3000;11,978;0,310;11,998;0,288;11,993;0,604;
13,4000;11,991;0,331;12,014;0,289;12,007;0,600;
13,5000;11,990;0,307;12,001;0,288;11,991;0,604;
13,6000;12,018;0,322;12,012;0,297;11,983;0,603;
13,7000;12,037;0,316;11,961;0,289;12,013;0,603;
13,8000;11,999;0,322;12,013;0,294;12,021;0,591;
13,9000;11,979;0,321;11,995;0,294;12,007;0,596;
14,0000;11,969;0,292;12,010;0,303;11,997;0,604;
14,1000;11,998;0,304;12,021;0,302;11,995;0,599;
14,2000;11,982;0,303;11,992;0,307;11,983;0,601;
14,3000;11,992;0,307;12,007;0,313;12,019;0,597;
14,4000;12,009;0,282;12,001;0,309;11,964;0,599;
14,5000;12,007;0,248;11,986;0,309;12,005;0,594;
14,6000;11,979;0,241;11,981;0,314;11,979;0,603;
14,7000;12,006;0,248;11,999;0,310;12,035;0,601;
14,8000;11,981;0,266;11,995;0,308;11,999;0,607;
14,9000;11,994;0,233;11,993;0,301;11,995;0,594;
